#                     Fission barriers calculated with the ETFSI model 
#  Z   A El      cin      hin      ain      Bin     Bexp      cout     hout     aout     Bout    Bexp
#                                          [MeV]    [MeV]                               [MeV]    [MeV]
#-----------------------------------------------------------------------------------------------------
  85 237 At      1.29     0.04     0.00     5.00              2.00    -0.01     0.53    17.80         
  85 238 At      1.29     0.04     0.00     5.40              2.10    -0.06     0.50    18.40         
  85 239 At      1.30     0.05     0.00     4.80              2.11    -0.05     0.53    18.60         
  85 240 At      1.30     0.06     0.00     5.30              2.11    -0.06     0.50    19.00         
  85 241 At      1.30     0.06     0.00     4.90              2.16    -0.10     0.50    19.40         
  85 242 At      1.35    -0.01     0.00     4.50              2.13    -0.09     0.50    19.10         
  85 243 At      1.39    -0.11     0.00     4.30              2.13    -0.09     0.50    19.10         
  85 244 At      1.36    -0.04     0.00     4.40              2.13    -0.09     0.53    18.90         
  85 245 At                                                   2.12    -0.10     0.53    19.10         
  85 246 At      1.40     0.01     0.00     5.00              2.11    -0.10     0.58    19.20         
  85 247 At      1.41    -0.01     0.00     5.00              2.11    -0.10     0.55    19.60         
  85 248 At      1.33     0.10     0.00     4.80              2.11    -0.10     0.55    19.50         
  85 249 At                                                   2.12    -0.09     0.53    19.70         
  85 250 At                                                   2.13    -0.09     0.53    20.20         
  85 251 At                                                   2.13    -0.09     0.50    21.20         
  85 252 At      1.42     0.01     0.00     7.10              2.13    -0.09     0.50    21.60         
  85 253 At      1.42     0.03     0.00     7.50              2.13    -0.09     0.47    22.50         
  85 254 At                                                   2.13    -0.09     0.47    22.90         
  85 255 At                                                   2.13    -0.09     0.47    24.40         
  85 256 At                                                   1.82     0.10     0.00    25.20         
  85 257 At                                                   2.13    -0.09     0.45    26.40         
  85 258 At      1.43    -0.01     0.00    11.30              1.82     0.09     0.00    26.20         
  85 259 At      1.44    -0.02     0.00    11.80              1.89     0.07     0.00    27.00         
  85 260 At                                                   1.88     0.07     0.00    27.40         
  85 261 At      1.22    -0.08     0.15    11.20              1.85     0.05     0.00    28.10         
  85 262 At      1.22    -0.08     0.15    12.10              1.84     0.06     0.00    28.20         
  85 263 At      1.22    -0.09     0.09    13.00              1.83     0.06     0.00    29.10         
  85 264 At      1.22    -0.08     0.15    14.10              1.92     0.08     0.00    29.80         
  85 265 At      1.21    -0.10     0.00    14.70              1.92     0.07     0.00    31.20         
  85 266 At      1.21    -0.10     0.00    15.80              1.93     0.07     0.00    32.30         
  85 267 At      1.23    -0.10     0.11    16.40              1.93     0.07     0.00    34.00         
  85 268 At      1.23    -0.11     0.00    17.90              1.93     0.07     0.00    35.60         
  85 269 At      1.23    -0.10     0.09    18.10              1.99    -0.01     0.00    36.30         
  86 216 Rn      1.22    -0.06     0.00    10.10              2.11    -0.18     0.00    15.20    13.50
  86 217 Rn      1.22    -0.06     0.00     9.90              2.11    -0.18     0.00    15.40         
  86 218 Rn      1.23    -0.05     0.00     8.70              2.11    -0.18     0.00    14.80         
  86 219 Rn      1.23    -0.05     0.00     7.70              2.11    -0.18     0.00    13.90         
  86 220 Rn      1.22    -0.04     0.00     6.70              2.11    -0.18     0.00    13.40         
