#           Level density parameters for the EGSM model
#  Z  A  Sym Io   Bn       Do            dDo           Esh          +da     a-asym   -da    a_sys
#                [MeV]    [keV]         [keV]         [MeV]         [1/MeV] [1/MeV] [1/MeV]
#-----------------------------------------------------------------------------------------------------
  44 105 Ru   .0  5.910    .32000E+00    .65000E-01    .40150E+01   .3790 11.7169   .3038  11.438
  45 104 Rh   .5  6.999    .32000E-01    .40000E-02    .29230E+01   .1615 10.0082   .1417  10.016
  46 105 Pd   .0  7.094    .30000E+00    .60000E-01    .20810E+01   .2842  9.2573   .2275   9.770
  46 106 Pd  2.5  9.562    .10300E-01    .50000E-03    .22860E+01   .0580  9.8342   .0541   9.902
  46 107 Pd   .0  6.538    .21700E+00    .60000E-01    .30740E+01   .4821 10.7984   .3583  10.746
  46 108 Pd  2.5  9.221    .11000E-01    .80000E-03    .30050E+01   .0970 10.3011   .0873  10.616
  46 109 Pd   .0  6.153    .18200E+00    .33000E-01    .35940E+01   .3278 12.0087   .2696  11.398
  46 111 Pd   .0  5.750    .27500E+00    .80000E-01    .37900E+01   .5944 12.0983   .4334  11.820
  47 108 Ag   .5  7.270    .28000E-01    .20000E-02    .24700E+01   .0876  9.8145   .0774  10.092
  47 110 Ag   .5  6.809    .18000E-01    .10000E-02    .32000E+01   .0770 11.1144   .0700  10.833
  48 107 Cd   .0  7.925    .16500E+00    .35000E-01    .51700E+00   .2591  8.7797   .2043   8.674
  48 109 Cd   .0  7.323    .12000E+00    .30000E-01    .15930E+01   .3746 10.0457   .2849   9.606
  48 111 Cd   .0  6.975    .15500E+00    .20000E-01    .22660E+01   .1911 10.3811   .1662  10.297
  48 112 Cd   .5  9.398    .27000E-01    .20000E-02    .22320E+01   .0934 10.0176   .0832  10.256
  48 113 Cd   .0  6.540    .19000E+00    .25000E-01    .26910E+01   .2099 10.9443   .1839  10.845
  48 114 Cd   .5  9.042    .24800E-01    .26000E-02    .24390E+01   .1438 10.6174   .1265  10.612
  48 115 Cd   .0  6.141    .21000E+00    .20000E-01    .27540E+01   .1591 11.4235   .1430  11.123
  48 117 Cd   .0  5.777    .70400E+00    .27000E+00    .24680E+01   .7650 10.1793   .4975  11.114
  49 114 In  4.5  7.274    .10700E-01    .80000E-03    .20740E+01   .0906  9.4041   .0826   9.625
  49 116 In  4.5  6.784    .95000E-02    .50000E-03    .22930E+01   .0693 10.2096   .0661   9.973
  50 113 Sn   .0  7.742    .15800E+00    .47000E-01    .79100E+00   .4087  9.0600   .2911   8.236
  50 115 Sn   .0  7.546    .28600E+00    .11000E+00    .90100E+00   .5562  8.6147   .3585   8.455
  50 117 Sn   .0  6.944    .45000E+00    .50000E-01    .12050E+01   .1459  8.7905   .1285   8.820
  50 118 Sn   .5  9.326    .61000E-01    .70000E-02    .88200E+00   .1314  8.9185   .1160   8.642
  50 119 Sn   .0  6.485    .70000E+00    .15000E-01    .11080E+01   .0297  8.8287   .0263   8.920
  50 120 Sn   .5  9.107    .90000E-01    .20000E-01    .46700E+00   .2700  8.6468   .2102   8.527
  50 121 Sn   .0  6.171    .12500E+01    .20000E+00    .49700E+00   .2298  8.3819   .1902   8.648
  50 123 Sn   .0  5.945    .29600E+01    .15000E+00   -.59600E+00   .0633  7.3880   .0574   8.012
  50 125 Sn   .0  5.733    .50000E+01    .10000E+01   -.21070E+01   .2522  6.7604   .1970   7.053
  51 122 Sb  2.5  6.807    .13000E-01    .20000E-02    .12610E+01   .2076  9.9306   .1747   9.834
  51 124 Sb  3.5  6.468    .24000E-01    .30000E-02    .23400E+00   .1607  9.1750   .1396   9.265
  52 123 Te   .0  6.929    .14600E+00    .14000E-01    .16350E+01   .1399 10.3826   .1252  10.655
  52 124 Te   .5  9.425    .25100E-01    .28000E-02    .88900E+00   .1365  9.7700   .1202  10.107
  52 125 Te   .0  6.576    .22000E+00    .30000E-01    .77100E+00   .2078 10.1915   .1772  10.153
  52 126 Te   .5  9.113    .43000E-01    .30000E-02   -.16800E+00   .0823  9.3215   .0742   9.494
  52 127 Te   .0  6.291    .64000E+00    .17000E+00   -.48400E+00   .4114  8.8971   .3040   9.304
  52 129 Te   .0  6.083    .15100E+01    .37000E+00   -.21440E+01   .3396  7.7948   .2557   8.101
  52 131 Te   .0  5.929    .15000E+01    .50000E+00   -.41840E+01   .4728  7.6093   .3195   6.585
  53 128 I   2.5  6.826    .15000E-01    .20000E-02    .10900E+00   .1710  9.5801   .1469   9.820
  53 130 I   3.5  6.500    .20000E-01    .30000E-02   -.12770E+01   .1911  9.1326   .1614   8.914
  54 129 Xe   .0  6.907    .25000E+00    .10000E+00    .49700E+00   .6817  9.5877   .4333  10.469
  54 130 Xe   .5  9.256    .38000E-01    .50000E-02   -.37200E+00   .1555  9.2823   .1351   9.856
  54 131 Xe   .0  6.605    .17400E+00    .28000E-01   -.76700E+00   .2421 10.1522   .2031   9.582
  54 132 Xe  1.5  8.935    .49000E-01    .80000E-02   -.17920E+01   .1822  8.4268   .1525   8.901
  54 133 Xe   .0  6.439    .75000E+00    .23000E+00   -.24700E+01   .4393  8.1917   .3092   8.309
  54 135 Xe   .0  6.383    .80000E+00    .40000E+00   -.46700E+01   .7816  7.8166   .4257   6.642
  54 137 Xe   .0  4.026    .28800E+02    .27000E+01   -.47590E+01   .1296  6.0395   .1127   6.180
  55 134 Cs  3.5  6.891    .21000E-01    .20000E-02   -.15460E+01   .1076  8.6688   .0958   8.834
  55 135 Cs  4.0  8.762    .16000E-01    .30000E-02   -.25810E+01   .1862  8.0992   .1500   8.209
  55 136 Cs  3.5  6.828    .51000E-01    .26000E-01   -.36690E+01   .6725  7.6270   .3625   7.390
  56 131 Ba   .0  7.493    .58000E-01    .10000E-01    .13290E+01   .2564 10.8770   .2131  10.222
  56 133 Ba   .0  7.189    .11000E+00    .35000E-01    .33500E+00   .5130 10.2543   .3617   9.647
  56 134 Ba   .5  9.468    .20000E-01    .80000E-02   -.54600E+00   .5817  9.7511   .3684   9.088
  56 135 Ba   .0  6.972    .37100E+00    .36000E-01   -.10620E+01   .1224  8.6613   .1078   8.743
  56 136 Ba  1.5  9.107    .40000E-01    .60000E-02   -.20480E+01   .1635  8.4577   .1391   8.155
  56 137 Ba   .0  6.906    .12100E+01    .11900E+00   -.29350E+01   .1012  7.2239   .0893   7.476
  56 138 Ba  1.5  8.611    .35000E+00    .50000E-01   -.38760E+01   .1229  6.6407   .1057   6.937
  56 139 Ba   .0  4.723    .18700E+02    .29000E+01   -.30170E+01   .2086  6.1439   .1708   7.270
  57 139 La  5.0  8.778    .32000E-01    .60000E-02   -.29010E+01   .1685  7.3597   .1358   7.375
  57 140 La  3.5  5.161    .22000E+00    .20000E-01   -.21450E+01   .1155  7.7260   .1036   7.734
  58 137 Ce   .0  7.481    .60000E-01    .20000E-01    .40000E-01   .5364 10.5090   .3710   9.969
  58 141 Ce   .0  5.428    .31000E+01    .50000E+00   -.17470E+01   .2391  7.8392   .1975   8.731
  58 142 Ce  3.5  7.169    .65000E-01    .20000E-01   -.10350E+01   .5316  9.6104   .3750   9.436
  58 143 Ce   .0  5.144    .11000E+01    .30000E+00   -.35900E+00   .5299 10.3438   .3904  10.055
  59 142 Pr  2.5  5.842    .11000E+00    .20000E-01   -.10420E+01   .2387  8.2715   .1935   8.280
  60 143 Nd   .0  6.123    .10300E+01    .13500E+00   -.94800E+00   .1865  8.5281   .1598   9.797
  60 144 Nd  3.5  7.816    .38000E-01    .20000E-02   -.24700E+00   .0728  9.5407   .0669  10.481
  60 145 Nd   .0  5.756    .45000E+00    .50000E-01    .46400E+00   .1894 10.7863   .1638  11.181
  60 146 Nd  3.5  7.565    .17000E-01    .20000E-02    .97800E+00   .1933 11.5119   .1708  11.690
  60 147 Nd   .0  5.291    .34000E+00    .50000E-01    .17350E+01   .2948 12.8328   .2487  12.539
  60 148 Nd  2.5  7.333    .40000E-02    .15000E-02    .20590E+01   .8543 15.1654   .5679  12.833
  60 151 Nd   .0  5.334    .16500E+00    .15000E-01    .24630E+01   .1875 14.4571   .1688  13.573
  61 148 Pm  3.5  5.897    .52000E-02    .12000E-02    .21760E+01   .4270 13.1129   .3350  13.115
  62 145 Sm   .0  6.757    .77000E+00    .45000E-01   -.58700E+00   .0722  8.1858   .0663  10.663
  62 148 Sm  3.5  8.142    .57000E-02    .50000E-03    .14770E+01   .1387 12.2003   .1266  12.736
  62 149 Sm   .0  5.871    .65000E-01    .20000E-01    .22860E+01   .6830 14.5041   .4882  13.693
  62 150 Sm  3.5  7.985    .24000E-02    .20000E-03    .25730E+01   .1464 14.2498   .1324  13.930
  62 151 Sm   .0  5.596    .46000E-01    .80000E-02    .32440E+01   .3918 16.4656   .3238  14.865
  62 152 Sm  2.5  8.258    .14000E-02    .15000E-03    .28430E+01   .1868 14.9401   .1702  14.329
  62 153 Sm   .0  5.867    .46000E-01    .30000E-02    .28470E+01   .1293 15.4739   .1189  14.609
  62 155 Sm   .0  5.807    .11400E+00    .15000E-01    .20140E+01   .2553 13.6655   .2219  13.955
  63 152 Eu  2.5  6.306    .73000E-03    .70000E-04    .35590E+01   .1748 16.2843   .1582  14.828
  63 153 Eu  3.0  8.550    .56000E-03    .20000E-03    .31660E+01   .6449 13.6391   .4395  14.387
  63 154 Eu  2.5  6.442    .11000E-02    .20000E-03    .29050E+01   .3329 15.0897   .2732  14.385
  63 155 Eu  3.0  8.151    .92000E-03    .12000E-03    .25070E+01   .2060 13.4932   .1809  14.026
  63 156 Eu  2.5  6.337    .43000E-02    .15000E-02    .19620E+01   .6688 12.8914   .4572  13.696
  64 153 Gd   .0  6.247    .14000E-01    .30000E-02    .34000E+01   .4632 16.7889   .3713  15.215
  64 154 Gd  1.5  8.894    .30000E-02    .60000E-03    .29630E+01   .3297 12.9968   .2685  14.646
  64 155 Gd   .0  6.435    .14500E-01    .15000E-02    .30090E+01   .1994 16.0493   .1814  14.982
  64 156 Gd  1.5  8.536    .17000E-02    .20000E-03    .25200E+01   .1979 14.4724   .1785  14.455
  64 157 Gd   .0  6.360    .30000E-01    .60000E-02    .22490E+01   .3973 14.6916   .3207  14.412
  64 158 Gd  1.5  7.937    .49000E-02    .50000E-03    .19600E+01   .1767 13.9121   .1580  14.154
  64 159 Gd   .0  5.943    .82000E-01    .60000E-02    .17280E+01   .1375 13.8355   .1256  14.099
  64 161 Gd   .0  5.635    .18000E+00    .20000E-01    .12500E+01   .2127 13.0882   .1862  13.797
  65 160 Tb  1.5  6.375    .38200E-02    .24000E-02    .17470E+01  1.5864 13.5254   .7516  13.525
  66 157 Dy   .0  6.969    .28000E-02    .60000E-03    .30700E+01   .4466 17.5803   .3535  15.072
  66 159 Dy   .0  6.831    .22000E-01    .11000E-01    .25040E+01  1.1791 14.1610   .6721  14.715
  66 161 Dy   .0  6.454    .27000E-01    .50000E-02    .20030E+01   .3598 14.5840   .2952  14.431
  66 162 Dy  2.5  8.196    .24000E-02    .20000E-03    .16460E+01   .1385 13.8421   .1279  14.097
  66 163 Dy   .0  6.271    .62000E-01    .50000E-02    .12970E+01   .1426 13.3867   .1313  13.902
