# Level density parameters for EGSM, Gilbert & Cameron (EMPIRE) and GSM (RIPL-2) models (2I4,1x,a2,f4.1,1x,F7.3,3E14.5,5f8.4,I4,1x,5(f8.3))
#  Z  A  Sym Io   Bn       Do            dDo           Esh          +da    a-EGSM    -da   a_sys   a-G&C   Nc     om2    DelO     aas     aerr   shift 
#                [MeV]    [keV]         [keV]         [MeV]        [1/MeV] [1/MeV] [1/MeV] [1/MeV] [1/MeV]       [MeV]   [MeV]  [1/MeV]  [1/MeV] [MeV] 
#-----------------------------------------------------------------------------------------------------------------------------------------------------
  34  77 Se   .0  7.419    .65000E+00    .10000E+00    .41500E+01   .1843  7.9595   .1552  7.8800 12.4600  30     .587   1.368   5.789    .184    .799   
  34  78 Se   .5 10.498    .12000E+00    .15000E-01    .35080E+01   .1166  7.7143   .1014  7.4730 11.7600  30     .614   1.359   5.991    .251    .676   
  34  79 Se   .0  6.963    .15000E+01    .30000E+00    .35080E+01   .2477  7.5163   .1972  7.7770 12.1000  30     .640   1.350   4.973    .248    .913   
  34  81 Se   .0  6.701    .24000E+01    .80000E+00    .21510E+01   .4367  7.0806   .2956  7.2320 11.6200  11     .660   1.333   7.667   1.097   -.033   
  34  83 Se   .0  5.818    .50000E+01    .25000E+01    .85400E+00   .8247  6.8858   .4477  6.7030 11.9700  12    1.055   1.317   9.653   1.911    .727   
  35  80 Br  1.5  7.892    .47000E-01    .50000E-02    .36930E+01   .1006  7.9534   .0892  7.7400 12.1000  30     .642   1.342   6.430    .123    .390   
  35  82 Br  1.5  7.593    .10000E+00    .15000E-01    .22790E+01   .1377  7.3765   .1165  7.2470 11.8400  30     .715   1.325   6.526    .183    .210   
  36  79 Kr   .0  8.334    .25000E+00    .80000E-01    .40620E+01   .3948  8.1800   .2740  7.9220 12.8000  30     .536   1.350   6.137    .312    .631   
  36  81 Kr   .0  7.873    .28000E+00    .80000E-01    .36570E+01   .3727  8.5115   .2698  7.9500 13.2800  30     .697   1.333   7.280    .354    .744   
  36  84 Kr  4.5 10.521    .20000E+00    .10000E+00    .14000E+01   .5293  6.2181   .3003  6.9660   .0000  30     .882   1.309   5.284    .425    .502   
  36  85 Kr   .0  7.121    .40000E+01    .40000E+00    .82900E+00   .0894  6.1925   .0797  6.8130   .0000  30    1.223   1.302  11.469    .376    .601   
  36  87 Kr   .0  5.515    .29000E+02    .15000E+01   -.10600E+00   .0475  5.2313   .0445  6.4450   .0000  30    1.528   2.708    .000    .000    .000   
