#
#  Z   A           Ex     J  P L       beta  Reference                       A Z
#                [MeV]
#-------------------------------------------------------------------------------
  29  63 Cu   1.412000  2.5 -1 2   0.090000  JENDL-3.2                      63Cu
  29  63 Cu   2.505000  4.5  1 3   0.170000  JENDL-3.2                      63Cu
  29  63 Cu   3.300000  3.5  1 3   0.180000  JENDL-3.2                      63Cu
  29  63 Cu   3.480000  2.5  1 3   0.170000  JENDL-3.2                      63Cu
  29  63 Cu   3.700000  1.5  1 3   0.170000  JENDL-3.2                      63Cu
  29  65 Cu   0.770600  0.5 -1 2   0.200000  JENDL-3.2                      65Cu
  29  65 Cu   1.116000  2.5 -1 2   0.220000  JENDL-3.2                      65Cu
  29  65 Cu   1.482000  3.5 -1 2   0.190000  JENDL-3.2                      65Cu
  29  65 Cu   1.623000  2.5 -1 2   0.080000  JENDL-3.2                      65Cu
  29  65 Cu   2.534000  4.5  1 3   0.170000  JENDL-3.2                      65Cu
  29  65 Cu   3.080000  3.5  1 3   0.180000  JENDL-3.2                      65Cu
  29  65 Cu   3.350000  2.5  1 3   0.170000  JENDL-3.2                      65Cu
  29  65 Cu   3.500000  1.5  1 3   0.170000  JENDL-3.2                      65Cu
  29  70 Cu   0.140000  5.0 -1 3   0.069629  ENSDF(BE3)                     70Cu
  29  70 Cu   0.140000  5.0 -1 3   0.072636  ENSDF(BE3)                     70Cu
  30  60 Zn  10.000000  0.0  1 2   0.263272  ENSDF(Q)                       60Zn
  30  62 Zn   0.953900  2.0  1 2   0.217085  Raman                          62Zn
  30  62 Zn  10.416000  0.0  1 2   0.488860  ENSDF(Q)                       62Zn
  30  64 Zn   0.991500  2.0  1 2   0.230000  JENDL-3.2                      64Zn
  30  64 Zn   0.991520  2.0  1 2   0.229967  Raman                          64Zn
  30  64 Zn   0.991550  2.0  1 2   0.207200  ENSDF(Q)                       64Zn
  30  64 Zn   0.991550  2.0  1 2   0.243163  ENSDF(BE2)                     64Zn
  30  64 Zn   0.991550  2.0  1 2   0.243917  ENSDF(BE2)                     64Zn
  30  64 Zn   0.991550  2.0  1 2   0.248393  ENSDF(BE2)                     64Zn
  30  64 Zn   0.991550  2.0  1 2   0.249867  ENSDF(BE2)                     64Zn
  30  64 Zn   1.799350  2.0  1 2   0.024987  ENSDF(BE2)                     64Zn
  30  64 Zn   2.998380  3.0 -1 3   0.252507  ENSDF(BE3)                     64Zn
  30  64 Zn   2.998600  3.0 -1 3   0.150000  JENDL-3.2                      64Zn
  30  64 Zn   2.999000  3.0 -1 3   0.252507  Spear                          64Zn
  30  66 Zn   1.039370  2.0  1 2   0.218144  Raman                          66Zn
  30  66 Zn   1.039400  2.0  1 2   0.220000  JENDL-3.2                      66Zn
  30  66 Zn   2.703500  3.0 -1 3   0.140000  JENDL-3.2                      66Zn
  30  66 Zn   2.827000  3.0 -1 3   0.250902  Spear                          66Zn
  30  66 Zn   4.075700  6.0 -1 2   0.037691  ENSDF(Q)                       66Zn
