#  Fit of EGSM a-parameter to experimental Do
#  Clasic vibr enhan., RIPL-3 Do & Shell corr.
#  Z  A  Sym  J   Qn         Dobs          dDobs        Shell         Def          Dcalc        +da_exp  a_exp -da_exp  a_sys    a_exp/a_sys
#------------------------------------------------------------------------------------------------------------------------------------------
  94 239 Pu   .0  5.646    .83000E-02    .50000E-03    .11030E+01    .22300E+00    .83005E-02     .1370 19.7678   .1281  19.337   1.022
  94 240 Pu   .5  6.534    .22000E-02    .90000E-04    .13540E+01    .22300E+00    .22002E-02     .0933 20.8501   .0892  19.743   1.056
  94 241 Pu   .0  5.242    .13000E-01    .50000E-03    .13530E+01    .22400E+00    .13000E-01     .0925 20.6674   .0886  19.861   1.041
  94 242 Pu  2.5  6.310    .93000E-03    .80000E-04    .15790E+01    .22400E+00    .92997E-03     .2105 21.5705   .1923  20.224   1.067
  94 243 Pu   .0  5.034    .13500E-01    .15000E-02    .15460E+01    .22400E+00    .13501E-01     .2923 21.7333   .2597  20.305   1.070
  95 242 Am  2.5  5.538    .58000E-03    .40000E-04    .95100E+00    .22400E+00    .57998E-03     .1457 19.1630   .1357  19.337    .991
  95 243 Am  5.0  6.364    .27000E-03    .30000E-04    .13230E+01    .22400E+00    .26998E-03     .2452 19.7644   .2187  19.899    .993
  95 244 Am  2.5  5.367    .73000E-03    .60000E-04    .11600E+01    .22400E+00    .72997E-03     .1793 19.4269   .1648  19.780    .982
  96 243 Cm   .0  5.693    .14000E-01    .30000E-02    .73000E+00    .23400E+00    .14001E-01     .5119 18.3131   .4075  19.153    .956
  96 244 Cm  2.5  6.801    .69000E-03    .50000E-04    .86400E+00    .23400E+00    .68997E-03     .1594 19.8000   .1481  19.394   1.021
  96 245 Cm   .0  5.520    .11800E-01    .12000E-02    .74300E+00    .23400E+00    .11801E-01     .2367 19.3822   .2126  19.333   1.003
  96 246 Cm  3.5  6.458    .79000E-03    .50000E-04    .97200E+00    .23400E+00    .79007E-03     .1463 20.4271   .1367  19.713   1.036
  96 247 Cm   .0  5.156    .30000E-01    .50000E-02    .97900E+00    .23500E+00    .30000E-01     .4182 18.9702   .3503  19.831    .957
  96 248 Cm  4.5  6.213    .12000E-02    .30000E-03    .12120E+01    .23500E+00    .12000E-02     .6677 20.3228   .5117  20.214   1.005
  97 250 Bk  3.5  4.970    .11000E-02    .10000E-03    .10430E+01    .23500E+00    .11001E-02     .2095 19.6065   .1899  20.123    .974
  98 250 Cf  4.5  6.625    .76000E-03    .10000E-03    .38600E+00    .24500E+00    .75998E-03     .3014 19.1975   .2624  19.225    .999
