# Level density parameters for EGSM & Gilbert and Cameron models (2I4,1x,a2,1x,f3.1,1x,F7.3,3E14.5,5f8.4)
#  Z  A  Sym Io   Bn       Do            dDo           Esh          +da    a-EGSM    -da   a_sys   a-G&C 
#                [MeV]    [keV]         [keV]         [MeV]         [1/MeV] [1/MeV] [1/MeV]
#--------------------------------------------------------------------------------------------------------
  40  95 Zr  .0   6.463    .40000E+01    .80000E+00    .14470E+01   .2349  6.7494   .1855  6.9510   .0000
  40  97 Zr  .0   5.579    .13000E+02    .30000E+01    .23310E+01   .3180  6.4150   .2404  7.6530 14.4300
  41  94 Nb 4.0   7.227    .94000E-01    .10000E-01    .69200E+00   .0963  6.9925   .0854  6.9900 12.4700
  42  93 Mo  .0   8.070    .27000E+01    .50000E+00   -.15260E+01   .1499  5.9599   .1228  5.9920 10.9900
  42  95 Mo  .0   7.369    .13200E+01    .18000E+00    .26600E+00   .1360  7.0177   .1157  7.1200 12.5200
  42  96 Mo 2.0   9.154    .81000E-01    .14000E-01    .11260E+01   .1892  7.8069   .1557  7.6840 12.8700
  42  97 Mo  .0   6.821    .10500E+01    .20000E+00    .17340E+01   .2460  7.9332   .1971  8.1810 13.7000
  42  98 Mo 2.0   8.642    .60000E-01    .10000E-01    .24250E+01   .2198  8.8420   .1829  8.6520 13.8900
  42  99 Mo  .0   5.925    .10000E+01    .20000E+00    .32890E+01   .3330  9.5759   .2660  9.4500 15.6200
  43 100 Tc 4.0   6.764    .14000E-01    .12000E-02    .29900E+01   .1134  9.8175   .1034  9.8280 15.0700
  44 100 Ru 2.0   9.673    .25000E-01    .40000E-02    .13830E+01   .1796  8.6267   .1504  8.8250 13.4600
  44 101 Ru  .0   6.802    .34500E+00    .60000E-01    .22700E+01   .2537  9.4722   .2087  9.6220   .0000
  44 102 Ru 2.0   9.219    .18000E-01    .30000E-02    .26060E+01   .2220  9.6378   .1835  9.8400 15.0500
  44 103 Ru  .0   6.232    .28000E+00    .50000E-01    .34380E+01   .3069 11.0404   .2495 10.7380 15.9500
  44 105 Ru  .0   5.910    .32000E+00    .65000E-01    .40150E+01   .3790 11.7169   .3038 11.4380   .0000
  45 104 Rh  .0   6.999    .32000E-01    .40000E-02    .29230E+01   .1615 10.0082   .1417 10.0160 15.4500
  46 105 Pd  .0   7.094    .30000E+00    .60000E-01    .20810E+01   .2842  9.2573   .2275  9.7700 15.5100
  46 106 Pd 2.0   9.562    .10300E-01    .50000E-03    .22860E+01   .0580  9.8342   .0541  9.9020 14.9500
  46 107 Pd  .0   6.538    .21700E+00    .60000E-01    .30740E+01   .4821 10.7984   .3583 10.7460 16.5600
  46 108 Pd 2.0   9.221    .11000E-01    .80000E-03    .30050E+01   .0970 10.3011   .0873 10.6160 15.6800
  46 109 Pd  .0   6.153    .18200E+00    .33000E-01    .35940E+01   .3278 12.0087   .2696 11.3980 18.0600
  46 111 Pd  .0   5.750    .27500E+00    .80000E-01    .37900E+01   .5944 12.0983   .4334 11.8200 18.1300
  47 108 Ag  .0   7.270    .28000E-01    .20000E-02    .24700E+01   .0876  9.8145   .0774 10.0920 15.3700
  47 110 Ag  .0   6.809    .18000E-01    .10000E-02    .32000E+01   .0770 11.1144   .0700 10.8330 16.7500
  48 107 Cd  .0   7.925    .16500E+00    .35000E-01    .51700E+00   .2591  8.7797   .2043  8.6740 14.9000
  48 109 Cd  .0   7.323    .12000E+00    .30000E-01    .15930E+01   .3746 10.0457   .2849  9.6060 16.1500
  48 111 Cd  .0   6.975    .15500E+00    .20000E-01    .22660E+01   .1911 10.3811   .1662 10.2970 16.5800
  48 112 Cd  .0   9.398    .27000E-01    .20000E-02    .22320E+01   .0934 10.0176   .0832 10.2560 15.6600
  48 113 Cd  .0   6.540    .19000E+00    .25000E-01    .26910E+01   .2099 10.9443   .1839 10.8450 17.1900
  48 114 Cd  .0   9.042    .24800E-01    .26000E-02    .24390E+01   .1438 10.6174   .1265 10.6120 16.2600
  48 115 Cd  .0   6.141    .21000E+00    .20000E-01    .27540E+01   .1591 11.4235   .1430 11.1230 17.9500
  48 117 Cd  .0   5.777    .70400E+00    .27000E+00    .24680E+01   .7650 10.1793   .4975 11.1140 18.1200
  49 114 In 4.0   7.274    .10700E-01    .80000E-03    .20740E+01   .0906  9.4041   .0826  9.6250 15.8200
  49 116 In 4.0   6.784    .95000E-02    .50000E-03    .22930E+01   .0693 10.2096   .0661  9.9730 16.2900
  50 113 Sn  .0   7.742    .15800E+00    .47000E-01    .79100E+00   .4087  9.0600   .2911  8.2360 15.1500
  50 115 Sn  .0   7.546    .28600E+00    .11000E+00    .90100E+00   .5562  8.6147   .3585  8.4550 15.0000
  50 117 Sn  .0   6.944    .45000E+00    .50000E-01    .12050E+01   .1459  8.7905   .1285  8.8200 15.4000
  50 118 Sn  .0   9.326    .61000E-01    .70000E-02    .88200E+00   .1314  8.9185   .1160  8.6420 15.1000
  50 119 Sn  .0   6.485    .70000E+00    .15000E-01    .11080E+01   .0297  8.8287   .0263  8.9200 15.6600
  50 120 Sn  .0   9.107    .90000E-01    .20000E-01    .46700E+00   .2700  8.6468   .2102  8.5270 15.0500
  50 121 Sn  .0   6.171    .12500E+01    .20000E+00    .49700E+00   .2298  8.3819   .1902  8.6480 15.5400
  50 123 Sn  .0   5.945    .29600E+01    .15000E+00   -.59600E+00   .0633  7.3880   .0574  8.0120 15.3400
  50 125 Sn  .0   5.733    .50000E+01    .10000E+01   -.21070E+01   .2522  6.7604   .1970  7.0530 15.1300
  51 122 Sb 2.0   6.807    .13000E-01    .20000E-02    .12610E+01   .2076  9.9306   .1747  9.8340 16.0100
  51 124 Sb 3.0   6.468    .24000E-01    .30000E-02    .23400E+00   .1607  9.1750   .1396  9.2650 16.0400
  52 123 Te  .0   6.929    .14600E+00    .14000E-01    .16350E+01   .1399 10.3826   .1252 10.6550 17.1400
  52 124 Te  .0   9.425    .25100E-01    .28000E-02    .88900E+00   .1365  9.7700   .1202 10.1070 16.3100
  52 125 Te  .0   6.576    .22000E+00    .30000E-01    .77100E+00   .2078 10.1915   .1772 10.1530 17.2300
  52 126 Te  .0   9.113    .43000E-01    .30000E-02   -.16800E+00   .0823  9.3215   .0742  9.4940 15.8200
  52 127 Te  .0   6.291    .64000E+00    .17000E+00   -.48400E+00   .4114  8.8971   .3040  9.3040 16.2700
  52 129 Te  .0   6.083    .15100E+01    .37000E+00   -.21440E+01   .3396  7.7948   .2557  8.1010 14.8100
  52 131 Te  .0   5.929    .15000E+01    .50000E+00   -.41840E+01   .4728  7.6093   .3195  6.5850 13.5300
  53 128 I  2.0   6.826    .15000E-01    .20000E-02    .10900E+00   .1710  9.5801   .1469  9.8200 16.0600
  53 130 I  3.0   6.500    .20000E-01    .30000E-02   -.12770E+01   .1911  9.1326   .1614  8.9140 16.0300
  54 129 Xe  .0   6.907    .25000E+00    .10000E+00    .49700E+00   .6817  9.5877   .4333 10.4690 16.3300
  54 130 Xe  .0   9.256    .38000E-01    .50000E-02   -.37200E+00   .1555  9.2823   .1351  9.8560 15.8600
  54 131 Xe  .0   6.605    .17400E+00    .28000E-01   -.76700E+00   .2421 10.1522   .2031  9.5820 17.5500
  54 132 Xe 1.0   8.935    .49000E-01    .80000E-02   -.17920E+01   .1822  8.4268   .1525  8.9010 15.2200
  54 133 Xe  .0   6.439    .75000E+00    .23000E+00   -.24700E+01   .4393  8.1917   .3092  8.3090 15.7100
  54 135 Xe  .0   6.383    .80000E+00    .40000E+00   -.46700E+01   .7816  7.8166   .4257  6.6420   .0000
