#           Level density parameters for the EGSM model
#  Z  A  Sym Io   Bn       Do            dDo           Esh          +da      a       -da   
#                [MeV]    [keV]         [keV]         [MeV]         [1/MeV] [1/MeV] [1/MeV]
#-----------------------------------------------------------------------------------------------------
  58 142 Ce  3.5  7.169   0.65000E-01   0.20000E-01  -0.10350E+01  0.5148  9.3800  0.3643
  58 143 Ce  0.0  5.144   0.11000E+01   0.50000E+00  -0.35900E+00  1.0103 10.2177  0.6008
  59 142 Pr  2.5  5.842   0.11000E+00   0.20000E-01  -0.10420E+01  0.2352  8.1852  0.1898
  60 143 Nd  0.0  6.123   0.86000E+00   0.80000E-01  -0.94800E+00  0.1313  8.7696  0.1166
  60 144 Nd  3.5  7.816   0.35000E-01   0.50000E-02  -0.24700E+00  0.2030  9.4432  0.1731
  60 145 Nd  0.0  5.756   0.45000E+00   0.50000E-01   0.46400E+00  0.1878 10.6668  0.1640
  60 146 Nd  3.5  7.565   0.17000E-01   0.30000E-02   0.97800E+00  0.2929 11.1095  0.2413
  60 147 Nd  0.0  5.291   0.29000E+00   0.50000E-01   0.17350E+01  0.3513 12.9386  0.2891
  60 148 Nd  2.5  7.333   0.35000E-02   0.17000E-02   0.20590E+01  1.1975 14.9780  0.6961
  60 151 Nd  0.0  5.334   0.16500E+00   0.15000E-01   0.24630E+01  0.1849 14.1938  0.1675
  61 148 Pm  3.5  5.897   0.52000E-02   0.12000E-02   0.21760E+01  0.4139 12.6498  0.3244
  62 145 Sm  0.0  6.757   0.67000E+00   0.60000E-01  -0.58700E+00  0.1143  8.3557  0.1016
  62 148 Sm  3.5  8.142   0.51000E-02   0.50000E-03   0.14770E+01  0.1535 11.9742  0.1376
  62 149 Sm  0.0  5.871   0.10000E+00   0.20000E-01   0.22860E+01  0.4011 13.5440  0.3231
  62 150 Sm  3.5  7.985   0.21000E-02   0.30000E-03   0.25730E+01  0.2517 13.9635  0.2182
  62 151 Sm  0.0  5.596   0.46000E-01   0.80000E-02   0.32440E+01  0.3879 16.2234  0.3212
  62 152 Sm  2.5  8.258   0.10400E-02   0.15000E-03   0.28430E+01  0.2583 15.0310  0.2222
  62 153 Sm  0.0  5.867   0.48000E-01   0.50000E-02   0.28470E+01  0.2082 15.1288  0.1865
  62 155 Sm  0.0  5.807   0.11400E+00   0.15000E-01   0.20140E+01  0.2533 13.4120  0.2198
  63 152 Eu  2.5  6.306   0.73000E-03   0.70000E-04   0.35590E+01  0.1702 15.8741  0.1592
  63 153 Eu  3.0  8.550   0.35000E-03   0.50000E-04   0.31660E+01  0.2270 13.9844  0.1920
  63 154 Eu  2.5  6.442   0.11000E-02   0.20000E-03   0.29050E+01  0.3262 14.6862  0.2687
  63 155 Eu  3.0  8.151   0.92000E-03   0.12000E-03   0.25070E+01  0.2007 13.1478  0.1787
  63 156 Eu  2.5  6.337   0.43000E-02   0.15000E-02   0.19620E+01  0.6549 12.5309  0.4477
  64 153 Gd  0.0  6.247   0.14000E-01   0.30000E-02   0.34000E+01  0.4616 16.5625  0.3685
  64 155 Gd  0.0  6.435   0.14500E-01   0.15000E-02   0.30090E+01  0.2006 15.8040  0.1783
  64 156 Gd  1.5  8.536   0.17000E-02   0.20000E-03   0.25200E+01  0.1952 14.1774  0.1758
  64 157 Gd  0.0  6.360   0.30000E-01   0.60000E-02   0.22490E+01  0.3934 14.4433  0.3180
  64 158 Gd  1.5  7.937   0.49000E-02   0.50000E-03   0.19600E+01  0.1719 13.6087  0.1560
  64 159 Gd  0.0  5.943   0.82000E-01   0.60000E-02   0.17280E+01  0.1345 13.5776  0.1243
  64 161 Gd  0.0  5.635   0.20000E+00   0.20000E-01   0.12500E+01  0.1865 12.6367  0.1665
  65 160 Tb  1.5  6.375   0.42000E-02   0.30000E-03   0.17470E+01  0.1140 13.0959  0.1048
  66 157 Dy  0.0  6.969   0.28000E-02   0.30000E-03   0.30700E+01  0.2080 17.3387  0.1830
  66 159 Dy  0.0  6.831   0.22000E-01   0.11000E-01   0.25040E+01  1.1698 13.9283  0.6662
  66 161 Dy  0.0  6.454   0.27000E-01   0.50000E-02   0.20030E+01  0.3568 14.3392  0.2926
  66 162 Dy  2.5  8.196   0.24000E-02   0.20000E-03   0.16460E+01  0.1372 13.4627  0.1239
  66 163 Dy  0.0  6.271   0.62000E-01   0.50000E-02   0.12970E+01  0.1416 13.1434  0.1301
  66 164 Dy  2.5  7.658   0.68000E-02   0.60000E-03   0.11000E+01  0.1467 12.7805  0.1340
  66 165 Dy  0.0  5.715   0.15000E+00   0.10000E-01   0.94300E+00  0.1214 12.8681  0.1116
  67 166 Ho  3.5  6.244   0.42000E-02   0.50000E-03   0.81900E+00  0.1906 12.1227  0.1665
  68 163 Er  0.0  6.902   0.80000E-02   0.20000E-02   0.24410E+01  0.5032 15.4805  0.3824
  68 165 Er  0.0  6.649   0.21000E-01   0.40000E-02   0.18520E+01  0.3610 14.2702  0.2946
  68 167 Er  0.0  6.436   0.38000E-01   0.30000E-02   0.10920E+01  0.1383 13.5397  0.1268
  68 168 Er  3.5  7.771   0.42000E-02   0.30000E-03   0.96800E+00  0.1177 12.8208  0.1067
  68 169 Er  0.0  6.003   0.10000E+00   0.10000E-01   0.73500E+00  0.1805 12.8235  0.1605
  68 171 Er  0.0  5.682   0.14700E+00   0.20000E-01   0.50300E+00  0.2577 12.8809  0.2236
  69 170 Tm  0.5  6.593   0.85000E-02   0.70000E-03   0.66600E+00  0.1269 12.4839  0.1152
  69 171 Tm  1.0  7.486   0.39000E-02   0.10000E-02   0.73900E+00  0.4479 13.1157  0.3422
  70 169 Yb  0.0  6.867   0.80000E-02   0.30000E-02   0.16670E+01  0.8159 15.3476  0.5426
  70 170 Yb  3.5  8.470   0.16000E-02   0.40000E-03   0.13960E+01  0.4357 13.0359  0.3342
  70 171 Yb  0.0  6.614   0.33000E-01   0.60000E-02   0.11080E+01  0.3323 13.3991  0.2737
  70 172 Yb  0.5  8.020   0.58000E-02   0.50000E-03   0.91600E+00  0.1457 13.9595  0.1329
  70 173 Yb  0.0  6.367   0.70000E-01   0.30000E-02   0.52200E+00  0.0699 12.5519  0.0695
  70 174 Yb  2.5  7.464   0.78000E-02   0.90000E-03   0.52700E+00  0.1975 12.8126  0.1757
  70 175 Yb  0.0  5.822   0.16200E+00   0.18000E-01   0.33400E+00  0.2020 12.3501  0.1782
  70 177 Yb  0.0  5.567   0.18500E+00   0.20000E-01   0.31600E+00  0.2041 12.7579  0.1807
  71 176 Lu  3.5  6.288   0.30000E-02   0.40000E-03   0.47400E+00  0.2178 12.5605  0.1899
  71 177 Lu  7.0  7.072   0.27500E-02   0.85000E-03   0.78900E+00  0.5802 12.3870  0.4125
  72 175 Hf  0.0  6.709   0.18000E-01   0.50000E-02   0.13110E+01  0.5536 14.2833  0.4108
  72 177 Hf  0.0  6.377   0.30000E-01   0.70000E-02   0.93400E+00  0.4608 14.1116  0.3591
  72 178 Hf  3.5  7.626   0.24000E-02   0.30000E-03   0.95700E+00  0.2237 14.0542  0.1967
  72 179 Hf  0.0  6.099   0.57000E-01   0.60000E-02   0.68500E+00  0.1936 13.6224  0.1733
  72 180 Hf  4.5  7.388   0.46000E-02   0.30000E-03   0.60200E+00  0.1114 13.0942  0.1040
  72 181 Hf  0.0  5.695   0.94000E-01   0.15000E-01   0.40500E+00  0.3155 13.6993  0.2666
  73 181 Ta  1.0  7.577   0.12000E-02   0.20000E-03   0.52500E+00  0.2909 14.7530  0.2436
  73 182 Ta  3.5  6.063   0.42000E-02   0.30000E-03   0.22500E+00  0.1146 12.4806  0.1057
  73 183 Ta  3.0  6.934   0.35000E-02   0.70000E-03   0.52000E+00  0.3558 13.0980  0.2873
  74 181 W   0.0  6.681   0.20000E-01   0.70000E-02   0.65300E+00  0.7272 14.0097  0.4971
  74 183 W   0.0  6.191   0.60000E-01   0.60000E-02   0.24300E+00  0.1785 13.1992  0.1608
  74 184 W   0.5  7.411   0.12000E-01   0.10000E-02   0.31300E+00  0.1483 13.9821  0.1345
  74 185 W   0.0  5.753   0.70000E-01   0.70000E-02   0.25400E+00  0.1919 14.0649  0.1725
  74 187 W   0.0  5.467   0.85000E-01   0.80000E-02   0.12100E+00  0.1882 14.4885  0.1694
  75 186 Re  2.5  6.180   0.31000E-02   0.30000E-03   0.41000E-01  0.1598 13.1571  0.1440
  75 188 Re  2.5  5.871   0.41000E-02   0.30000E-03  -0.15500E+00  0.1223 13.3309  0.1127
  76 187 Os  0.0  6.293   0.29000E-01   0.30000E-02   0.17800E+00  0.1893 14.2117  0.1694
  76 188 Os  0.5  7.989   0.40000E-02   0.60000E-03  -0.15800E+00  0.2617 14.3401  0.2250
  76 189 Os  0.0  5.920   0.47000E-01   0.60000E-02  -0.19400E+00  0.2457 14.2164  0.2142
  76 190 Os  1.5  7.791   0.34000E-02   0.40000E-03  -0.66200E+00  0.2024 13.7752  0.1780
  76 191 Os  0.0  5.758   0.70000E-01   0.10000E-01  -0.84800E+00  0.2756 13.7146  0.2351
  76 193 Os  0.0  5.585   0.11500E+00   0.10000E-01  -0.17200E+01  0.1594 12.9836  0.1437
  77 192 Ir  1.5  6.198   0.25000E-02   0.50000E-03  -0.97500E+00  0.3545 13.8798  0.2886
  77 193 Ir  4.0  7.771   0.70000E-03   0.20000E-03  -0.14790E+01  0.4919 13.0721  0.3619
  77 194 Ir  1.5  6.067   0.70000E-02   0.20000E-02  -0.20310E+01  0.5096 12.2714  0.3752
  78 193 Pt  0.0  6.255   0.22000E-01   0.80000E-02  -0.11920E+01  0.7871 14.4610  0.5325
  78 195 Pt  0.0  6.104   0.20000E+00   0.80000E-01  -0.24140E+01  0.7887 10.8283  0.5048
