#
# Data file of the   first-excited state energies(keV)(E2+) and
# parameters "beta" obtained from the  B(E2)up transition values.
# A parameter "beta" corresponds to  deformation parameter "beta2"
# in absolute value and in the lowest order on deformation.
# The data   extracted from data file  "raman_tableI.txt"
# of the paper by S.Raman, C.W.Nestor,Jr, P.Tikkanen
# [Atom.Data Nucl.Data Tabl. 78(2001)1;  Table 1 for even-even nuclei]
# FORMAT (I4,I4,f13.5,f10.4)
#
#  Z   A     E2+        beta
#
   2   4  27420.00000
  90 230     53.20000     .2441
  90 232     49.36900     .2608
  90 234     49.55000     .2410
  92 226     80.50000
  92 228     59.00000
  92 230     51.72000     .2620
  92 232     47.57200     .2640
  92 234     43.49800     .2718
  92 236     45.24200     .2821
  92 238     44.91000     .2863
  92 240     45.00000
  94 236     44.63000
  94 238     44.08000     .2861
  94 240     42.82400     .2891
  94 242     44.54000     .2917
  94 244     46.00000     .2931
  94 246     44.20000
  96 238     35.00000
  96 240     38.00000     .2970
  96 242     42.13000
  96 244     42.96500     .2972
  96 246     42.85200     .2983
  96 248     43.38000     .2972
  96 250     43.00000
  98 244     40.00000
  98 248     41.53000
  98 250     42.72200     .2990
  98 252     45.72000     .3040
 100 248     44.00000
 100 250     44.00000
 100 252     46.60000
 100 254     44.98800
 100 256     48.10000
