#           Level density parameters for the EGSM model
#  Z  A  Sym Io   Bn       Do            dDo           Esh         +da      a       -da   
#                [MeV]    [keV]         [keV]         [MeV]        [1/MeV] [1/MeV] [1/MeV]
#----------------------------------------------------------------------------------------------------
  62 152 Sm  2.5  8.258   0.10400E-02   0.15000E-03   0.28430E+01  0.2685 11.8830  0.2282 
  62 153 Sm  0.0  5.867   0.48000E-01   0.50000E-02   0.28470E+01  0.2159 11.9588  0.1927 
  62 155 Sm  0.0  5.807   0.11400E+00   0.15000E-01   0.20140E+01  0.2656 10.2989  0.2295 
  63 152 Eu  2.5  6.306   0.73000E-03   0.70000E-04   0.35590E+01  0.1804 12.5981  0.1585 
  63 153 Eu  3.0  8.550   0.35000E-03   0.50000E-04   0.31660E+01  0.2291 10.7465  0.1944 
  63 154 Eu  2.5  6.442   0.11000E-02   0.20000E-03   0.29050E+01  0.3400 11.4656  0.2766 
  63 155 Eu  3.0  8.151   0.92000E-03   0.12000E-03   0.25070E+01  0.2082  9.9656  0.1785 
  63 156 Eu  2.5  6.337   0.43000E-02   0.15000E-02   0.19620E+01  0.6772  9.3910  0.4576 
  64 153 Gd  0.0  6.247   0.14000E-01   0.30000E-02   0.34000E+01  0.4786 13.3154  0.3780 
  64 155 Gd  0.0  6.435   0.14500E-01   0.15000E-02   0.30090E+01  0.2090 12.5681  0.1841 
  64 156 Gd  1.5  8.536   0.17000E-02   0.20000E-03   0.25200E+01  0.2026 10.9776  0.1779 
  64 157 Gd  0.0  6.360   0.30000E-01   0.60000E-02   0.22490E+01  0.4097 11.2734  0.3292 
  64 158 Gd  1.5  7.937   0.49000E-02   0.50000E-03   0.19600E+01  0.1807 10.4505  0.1589 
  64 159 Gd  0.0  5.943   0.82000E-01   0.60000E-02   0.17280E+01  0.1414 10.4360  0.1287 
  64 161 Gd  0.0  5.635   0.20000E+00   0.20000E-01   0.12500E+01  0.1987  9.5058  0.1742 
  65 160 Tb  1.5  6.375   0.42000E-02   0.30000E-03   0.17470E+01  0.1186  9.9319  0.1069 
  66 157 Dy  0.0  6.969   0.28000E-02   0.30000E-03   0.30700E+01  0.2135 14.0891  0.1884 
  66 159 Dy  0.0  6.831   0.22000E-01   0.11000E-01   0.25040E+01  1.2151 10.6342  0.6883 
  66 161 Dy  0.0  6.454   0.27000E-01   0.50000E-02   0.20030E+01  0.3706 11.1211  0.3027 
  66 162 Dy  2.5  8.196   0.24000E-02   0.20000E-03   0.16460E+01  0.1405 10.2836  0.1268 
  66 163 Dy  0.0  6.271   0.62000E-01   0.50000E-02   0.12970E+01  0.1498  9.9849  0.1341 
  66 164 Dy  2.5  7.658   0.68000E-02   0.60000E-03   0.11000E+01  0.1539  9.6397  0.1374 
  66 165 Dy  0.0  5.715   0.15000E+00   0.10000E-01   0.94300E+00  0.1305  9.7241  0.1160 
  67 166 Ho  3.5  6.244   0.42000E-02   0.50000E-03   0.81900E+00  0.1945  9.0040  0.1682 
  68 163 Er  0.0  6.902   0.80000E-02   0.20000E-02   0.24410E+01  0.5202 12.1616  0.3956 
  68 165 Er  0.0  6.649   0.21000E-01   0.40000E-02   0.18520E+01  0.3742 10.9888  0.3038 
  68 167 Er  0.0  6.436   0.38000E-01   0.30000E-02   0.10920E+01  0.1435 10.3555  0.1311 
  68 168 Er  3.5  7.771   0.42000E-02   0.30000E-03   0.96800E+00  0.1231  9.6266  0.1088 
  68 169 Er  0.0  6.003   0.10000E+00   0.10000E-01   0.73500E+00  0.1913  9.6352  0.1667 
  68 171 Er  0.0  5.682   0.14700E+00   0.20000E-01   0.50300E+00  0.2743  9.6989  0.2320 
  69 170 Tm  0.5  6.593   0.85000E-02   0.70000E-03   0.66600E+00  0.1295  9.3474  0.1151 
  69 171 Tm  1.0  7.486   0.39000E-02   0.10000E-02   0.73900E+00  0.4577  9.9502  0.3452 
  70 169 Yb  0.0  6.867   0.80000E-02   0.30000E-02   0.16670E+01  0.8461 12.0571  0.5585 
  70 170 Yb  3.5  8.470   0.16000E-02   0.40000E-03   0.13960E+01  0.4447  9.7458  0.3357 
  70 171 Yb  0.0  6.614   0.33000E-01   0.60000E-02   0.11080E+01  0.3461 10.1181  0.2813 
  70 172 Yb  0.5  8.020   0.58000E-02   0.50000E-03   0.91600E+00  0.1492 10.7362  0.1344 
  70 173 Yb  0.0  6.367   0.70000E-01   0.30000E-02   0.52200E+00  0.0770  9.3242  0.0675 
  70 174 Yb  2.5  7.464   0.78000E-02   0.90000E-03   0.52700E+00  0.2073  9.5804  0.1787 
  70 175 Yb  0.0  5.822   0.16200E+00   0.18000E-01   0.33400E+00  0.2132  9.0943  0.1841 
  70 177 Yb  0.0  5.567   0.18500E+00   0.20000E-01   0.31600E+00  0.2166  9.4731  0.1880 
  71 176 Lu  3.5  6.288   0.30000E-02   0.40000E-03   0.47400E+00  0.2222  9.3319  0.1891 
  71 177 Lu  7.0  7.072   0.27500E-02   0.85000E-03   0.78900E+00  0.5898  9.0402  0.4161 
  72 175 Hf  0.0  6.709   0.18000E-01   0.50000E-02   0.13110E+01  0.5722 10.8969  0.4224 
  72 177 Hf  0.0  6.377   0.30000E-01   0.70000E-02   0.93400E+00  0.4786 10.7545  0.3704 
  72 178 Hf  3.5  7.626   0.24000E-02   0.30000E-03   0.95700E+00  0.2294 10.6775  0.2005 
  72 179 Hf  0.0  6.099   0.57000E-01   0.60000E-02   0.68500E+00  0.2041 10.2539  0.1779 
  72 180 Hf  4.5  7.388   0.46000E-02   0.30000E-03   0.60200E+00  0.1168  9.7182  0.1056 
  72 181 Hf  0.0  5.695   0.94000E-01   0.15000E-01   0.40500E+00  0.3311 10.3491  0.2772 
  73 181 Ta  1.0  7.577   0.12000E-02   0.20000E-03   0.52500E+00  0.2958 11.4717  0.2461 
  73 182 Ta  3.5  6.063   0.42000E-02   0.30000E-03   0.22500E+00  0.1174  9.1780  0.1039 
  73 183 Ta  3.0  6.934   0.35000E-02   0.70000E-03   0.52000E+00  0.3636  9.7120  0.2893 
  74 181 W   0.0  6.681   0.20000E-01   0.70000E-02   0.65300E+00  0.7493 10.6394  0.5081 
  74 183 W   0.0  6.191   0.60000E-01   0.60000E-02   0.24300E+00  0.1874  9.8394  0.1638 
  74 184 W   0.5  7.411   0.12000E-01   0.10000E-02   0.31300E+00  0.1513 10.6251  0.1358 
  74 185 W   0.0  5.753   0.70000E-01   0.70000E-02   0.25400E+00  0.2005 10.6791  0.1779 
  74 187 W   0.0  5.467   0.85000E-01   0.80000E-02   0.12100E+00  0.1973 11.1088  0.1755 
  75 186 Re  2.5  6.180   0.31000E-02   0.30000E-03   0.41000E-01  0.1633  9.8383  0.1427 
  75 188 Re  2.5  5.871   0.41000E-02   0.30000E-03  -0.15500E+00  0.1271 10.0030  0.1132 
  76 187 Os  0.0  6.293   0.29000E-01   0.30000E-02   0.17800E+00  0.1965 10.8232  0.1746 
  76 188 Os  0.5  7.989   0.40000E-02   0.60000E-03  -0.15800E+00  0.2681 11.0513  0.2268 
  76 189 Os  0.0  5.920   0.47000E-01   0.60000E-02  -0.19400E+00  0.2546 10.8675  0.2204 
  76 190 Os  1.5  7.791   0.34000E-02   0.40000E-03  -0.66200E+00  0.2055 10.5508  0.1785 
  76 191 Os  0.0  5.758   0.70000E-01   0.10000E-01  -0.84800E+00  0.2871 10.4666  0.2435 
