# Level density parameters for EGSM, Gilbert & Cameron (EMPIRE) and GSM (RIPL-2) models (2I4,1x,a2,f4.1,1x,F7.3,3E14.5,5f8.4,I4,1x,5(f8.3))
#  Z  A  Sym Io   Bn       Do            dDo           Esh          +da    a-EGSM    -da   a_sys   a-G&C   Nc     om2    DelO     aas     aerr   shift 
#                [MeV]    [keV]         [keV]         [MeV]        [1/MeV] [1/MeV] [1/MeV] [1/MeV] [1/MeV]       [MeV]   [MeV]  [1/MeV]  [1/MeV] [MeV] 
#-----------------------------------------------------------------------------------------------------------------------------------------------------
  28  61 Ni  .0   7.820    .13800E+02    .90000E+00   -.49200E+00   .0480  4.6588   .0433  4.5020  7.9100  30    1.253   1.536   4.151    .078    .819
  28  62 Ni 1.5  10.597    .21000E+01    .15000E+00   -.76000E-01   .0520  4.6639   .0465  4.7510  8.0500  30    1.173   1.524   3.860    .061    .889
  28  63 Ni  .0   6.837    .16000E+02    .30000E+01    .78300E+00   .1552  5.0027   .1262  5.2120  8.7100  30    1.260   1.512   4.800    .309    .707
  28  65 Ni  .0   6.098    .23600E+02    .30000E+01    .17360E+01   .1121  5.0728   .0952  5.8630  9.1400  30    1.384   1.488   6.055    .387    .695
  29  64 Cu 1.5   7.916    .70000E+00    .90000E-01    .41500E+00   .0977  5.3971   .0849  5.0730  8.7300  30    1.169   1.500   4.628    .101    .483
  29  66 Cu 1.5   7.065    .13000E+01    .11000E+00    .14600E+01   .0642  5.3210   .0572  5.6860  9.1600  30    1.231   1.477   4.873    .112    .418
  30  65 Zn  .0   7.979    .23000E+01    .30000E+00    .12690E+01   .1086  6.0525   .0942  5.3640  9.5100  30    1.016   1.488   4.672    .051   1.114
  30  67 Zn  .0   7.052    .46200E+01    .55000E+00    .24340E+01   .1088  6.0367   .0946  6.0990  9.9000  30    1.058   1.466   4.833    .161   1.300
  30  68 Zn 2.5  10.198    .37000E+00    .20000E-01    .24770E+01   .0417  6.0096   .0397  6.1000  9.8800  30    1.077   1.455   4.652    .150   1.168
  30  69 Zn  .0   6.482    .55600E+01    .43000E+00    .31040E+01   .0797  6.2916   .0712  6.6510 10.3500  15     .981   1.445   5.223    .135   1.015
  30  71 Zn  .0   5.834    .65200E+01    .42000E+00    .36230E+01   .0805  6.8281   .0718  7.1770 11.7300  10     .769   1.424   7.208    .487    .151
  31  70 Ga 1.5   7.655    .31600E+00    .41000E-01    .28400E+01   .1055  6.2598   .0923  6.1550 10.3400  30     .962   1.434   5.271    .201    .269
  31  72 Ga 1.5   6.521    .38000E+00    .60000E-01    .37890E+01   .1532  6.7412   .1284  6.8410 11.1300  30     .743   1.414   5.204    .186    .480
  32  71 Ge  .0   7.416    .11700E+01    .23000E+00    .37750E+01   .2200  7.2366   .1758  7.0320 11.0600  30     .937   1.424   5.828    .319   1.622
  32  73 Ge  .0   6.782    .15000E+01    .30000E+00    .41850E+01   .2571  7.5933   .2045  7.5040 11.8900  30     .715   1.404   5.127    .232   1.391
  32  74 Ge 4.5  10.196    .62000E-01    .15000E-01    .35800E+01   .2580  7.3452   .1954  7.0850 11.2600  30     .596   1.395   5.680    .219    .708
  32  75 Ge  .0   6.505    .30000E+01    .10000E+01    .36960E+01   .4640  7.1265   .3137  7.4700 11.6100  30     .580   1.386   4.861    .342    .653
  32  77 Ge  .0   6.072    .45000E+01    .10000E+01    .28060E+01   .2937  6.9965   .2271  7.2100 11.4100  10     .591   1.368   5.206    .439    .467
  33  76 As 1.5   7.329    .90000E-01    .80000E-02    .40430E+01   .0859  7.6040   .0761  7.6030 11.9500  30     .561   1.376   6.106    .117    .260
  34  75 Se  .0   8.027    .34000E+00    .80000E-01    .42360E+01   .2798  8.0880   .2143  7.7410 12.3700  30     .597   1.386   5.845    .244   1.020
  34  77 Se  .0   7.418    .65000E+00    .10000E+00    .41500E+01   .1831  7.9447   .1555  7.9670 12.4600  30     .587   1.368   5.789    .184    .799
